Name,Age
Derek Anderson,32
R.J. Archer,
Matt Barkley,24
Matt Blanchard,
Blake Bortles,23
Tajh Boyd,24
Sam Bradford,27
Tom Brady,37
Tyler Bray,23
Drew Brees,36
Brandon Bridge,
Teddy Bridgewater,22
Jason Campbell,33
Shane Carden,
Derek Carr,24
Matt Cassel,33
Jimmy Clausen,26
Kellen Clemens,32
Kirk Cousins,26
Jay Cutler,32
Andy Dalton,27
Chase Daniel,28
B.J. Daniels,25
Austin Davis,26
Dominique Davis,25
Pat Devlin,27
Dennis Dixon,30
Zac Dysert,25
Cody Fajardo,
David Fales,24
Kory Faulkner,24
Ryan Fitzpatrick,32
Joe Flacco,30
Matt Flynn,30
Nick Foles,26
James Franklin,23
Josh Freeman,27
Blaine Gabbert,25
Jimmy Garoppolo,23
Garrett Gilbert,24
Mike Glennon,25
Bruce Gradkowski,32
Garrett Grayson,
Robert Griffin III,25
Ryan Griffin,25
Rex Grossman,34
Caleb Hanie,29
Matt Hasselbeck,39
Chad Henne,29
Shaun Hill,35
Brian Hoyer,29
Brett Hundley,
Tarvaris Jackson,32
Brock Jensen,24
Josh Johnson,29
Landry Jones,26
Colin Kaepernick,27
Mike Kafka,27
Case Keenum,27
Taylor Kelly,
G.J. Kinne,26
Kevin Kolb,30
Thaddeus Lewis,27
Ryan Lindley,26
Jake Locker,27
Andrew Luck,25
Ryan Mallett,27
Eli Manning,34
Peyton Manning,39
Sean Mannion,
E.J. Manuel,25
Johnny Manziel,22
Marcus Mariota,
A.J. McCarron,24
Josh McCown,35
Luke McCown,33
Colt McCoy,28
Matt McGloin,25
Zach Mettenberger,23
Kellen Moore,25
Matt Moore,30
Stephen Morris,22
Aaron Murray,24
Ryan Nassib,25
Cam Newton,26
Dan Orlovsky,31
Kyle Orton,32
Brock Osweiler,24
Curtis Painter,30
Carson Palmer,35
Jordan Palmer,31
Bryce Petty,
Christian Ponder,27
Brady Quinn,30
Sean Renfree,25
Bryn Renner,25
Philip Rivers,33
Aaron Rodgers,31
Jordan Rodgers,26
Ben Roethlisberger,33
Tony Romo,35
Matt Ryan,30
Mark Sanchez,28
Tom Savage,25
Matt Schaub,34
Matt Scott,24
Connor Shaw,23
Trevor Siemian,
Matt Simms,
Blake Sims,
John Skelton,27
Alex Smith,31
Brett Smith,23
Geno Smith,24
Rusty Smith,28
Brad Sorensen,27
Matthew Stafford,27
Drew Stanton,31
Ricky Stanzi,27
Ryan Tannehill,26
Alex Tanney,27
Tyrod Taylor,25
Tim Tebow,27
Tyler Thigpen,31
Logan Thomas,24
Scott Tolzien,27
Jeff Tuel,
Dustin Vaughan,24
Michael Vick,35
Seneca Wallace,34
Joe Webb,28
Brandon Weeden,31
Keith Wenning,24
Charlie Whitehurst,32
Russell Wilson,26
Tyler Wilson,25
Jameis Winston,
T.J. Yates,28
Vince Young,32
Ameer Abdullah,
Malcolm Agnew,
Ray Agnew,24
Jay Ajayi,
Alvester Alexander,24
Anthony Allen,26
Javorius Allen,
C.J. Anderson,24
Antonio Andrews,22
Dri Archer,23
Cameron Artis-Payne,
Matt Asiata,27
George Atkinson,22
Edwin Baker,24
Montee Ball,24
Vick Ballard,24
Joe Banyard,
Kenjon Barner,26
Jackie Battle,31
Joique Bell,28
Kahlil Bell,28
Le'Veon Bell,22
Giovani Bernard,23
Kapri Bibbs,22
LeGarrette Blount,28
Alfred Blue,24
Tommy Bohanon,24
Brandon Bolden,25
Ahmad Bradshaw,29
Andre Brown,28
Bryce Brown,24
Dominique Brown,
Donald Brown,28
Malcolm Brown,
Ronnie Brown,33
Rex Burkhead,24
Michael Burton,
Michael Bush,31
Reggie Bush,30
Travaris Cadet,26
Jordan Campbell,27
Ka'Deem Carey,22
Delone Carter,28
Willie Carter,25
Jamaal Charles,28
Tashard Choice,30
Brennan Clay,23
Tyler Clutts,30
David Cobb,
Terrance Cobb,24
Derrick Coleman,
Tevin Coleman,
Jed Collins,29
John Conner,28
J.C. Copeland,23
Tim Cornett,23
Michael Cox,25
John Crockett,
Isaiah Crowell,22
Benny Cunningham,24
Orleans Darkwa,23
Knile Davis,23
Mike Davis,
Synjyn Days,
Jeff Demps,25
James Develin,
Patrick DiMarco,
Anthony Dixon,27
Shaun Draughn,27
Lance Dunbar,25
Jonathan Dwyer,25
Michael Dyer,
Jahwan Edwards,
Andre Ellington,26
Bradie Ewing,25
Jerome Felton,28
Tony Fiammetta,28
Roy Finch,23
Tim Flanders,23
David Fluellen,23
Michael Ford,25
Justin Forsett,29
Matt Forte,29
Arian Foster,28
Jalston Fowler,
Johnathan Franklin,25
Devonta Freeman,23
Tyler Gaffney,24
Terrance Ganaway,26
Kendall Gaskins,24
Toby Gerhart,28
Mike Gillislee,24
Mike Goodson,28
Melvin Gordon,
Frank Gore,32
Ray Graham,24
Corey Grant,
Cyrus Gray,25
Jonas Gray,25
Alex Green,27
BenJarvus Green-Ellis,29
Shonn Greene,29
Marion Grice,22
Jonathan Grimes,25
Chris Gronkowski,28
Todd Gurley,
Jewel Hampton,25
Montario Hardesty,28
DuJuan Harris,26
Josh Harris,24
Dee Hart,
Mario Harvey,27
Stanley Havili,27
Jarryd Hayne,
Roy Helu,26
Dan Herron,26
Ryan Hewitt,24
Tim Hightower,29
Jeremy Hill,22
Michael Hill,26
Kenny Hilliard,
Lex Hilliard,30
Peyton Hillis,29
Ronnie Hillman,23
Stephen Houston,23
Robert Hughes,26
Akeem Hunt,
Kendall Hunter,26
Carlos Hyde,23
Henry Hynoski,26
Mark Ingram,25
Joey Iosefa,
Chris Ivory,27
Fred Jackson,34
Steven Jackson,31
Brandon Jacobs,32
LaMichael James,25
Mike James,24
Jawan Jamison,23
Rashad Jennings,30
Austin Johnson,26
Chris Johnson,29
David Johnson,
Dennis Johnson,25
Duke Johnson,
Gus Johnson,
Quinn Johnson,28
Storm Johnson,22
Will Johnson,25
Felix Jones,28
Greg Jones,34
Matt Jones,
Taiwan Jones,26
Maurice Jones-Drew,30
Henry Josey,23
Kyle Juszczyk,24
Deji Karim,28
John Kuhn,32
Eddie Lacy,24
Jorvorskie Lane,28
Jeremy Langford,
Spencer Larsen,31
Marcus Lattimore,23
Vonta Leach,33
Brian Leonard,31
Mikel Leshoure,25
Dion Lewis,24
Zach Line,
Erik Lorig,28
Jordan Lynch,24
Marshawn Lynch,29
Terrence Magee,
Ben Malena,23
Doug Martin,26
Tre Mason,21
Ryan Mathews,27
Miguel Maysonet,25
Le'Ron McClain,30
Dexter McCluster,26
LeSean McCoy,26
Darren McFadden,27
Willis McGahee,33
Jerick McKinnon,23
Joe McKnight,27
Rashard Mendenhall,28
Christine Michael,24
Trey Millard,23
Bruce Miller,27
Lamar Miller,24
Collin Mooney,29
Knowshon Moreno,27
Alfred Morris,26
Marcus Murphy,
DeMarco Murray,27
Latavius Murray,24
Rajion Neal,23
Chris Ogbonnaya,29
Jamize Olawale,26
Branden Oliver,24
Montell Owens,31
Jalen Parmele,29
Isaiah Pead,25
Cedric Peerman,28
LaDarius Perkins,24
Senorise Perry,23
Adrian Peterson,30
Bernard Pierce,24
Chris Polk,25
Tauren Poole,25
Bilal Powell,26
William Powell,27
Jay Prosch,22
Bobby Rainey,27
Chris Rainey,27
Joseph Randle,23
Thomas Rawls,
Darrin Reaves,22
Silas Redd,23
Isaac Redman,30
Marcel Reece,30
Darius Reynaud,28
Chase Reynolds,
Ray Rice,28
Daryl Richardson,25
Trent Richardson,23
Theo Riddick,24
Stevan Ridley,26
Aaron Ripkowski,
Denard Robinson,24
Josh Robinson,
Khiry Robinson,
Michael Robinson,32
Jacquizz Rodgers,25
Desmond Roland,
Evan Royster,27
Bishop Sankey,22
Ross Scheuerman,
Bernard Scott,31
Da'Rel Scott,27
Jeff Scott,24
Lache Seastrunk,23
Kory Sheets,30
Anthony Sherman,26
Charles Sims,24
Kiero Small,26
Alfonso Smith,28
Antone Smith,29
Armond Smith,29
Dreamius Smith,
Jerome Smith,24
Michael Smith,26
Jason Snelling,31
Chad Spann,26
C.J. Spiller,27
Darren Sproles,32
Zac Stacy,24
James Starks,29
LaRod Stephens-Howling,28
Jeremy Stewart,26
Jonathan Stewart,28
Frank Summers,29
Will Ta'ufo'ou,29
Lorenzo Taliaferro,23
Phillip Tanner,26
Ben Tate,26
Stepfan Taylor,24
Daniel Thomas,27
Pierre Thomas,30
Chris Thompson,24
Juwan Thompson,23
Zurlon Tipton,25
Jordan Todman,25
Mike Tolbert,29
Fitzgerald Toussaint,25
Matthew Tucker,24
Will Tukuafu,31
Robert Turbin,25
Michael Turner,33
Tyler Varga,
Josh Vaughan,28
Shane Vereen,26
Spencer Ware,23
Leon Washington,32
Terrell Watson,
Trey Watts,24
Beanie Wells,26
Charcandrick West,24
Terrance West,24
James White,23
Fozzy Whittaker,26
James Wilder,23
Andre Williams,22
Damien Williams,23
DeAngelo Williams,32
Karlos Williams,
Kerwynn Williams,24
Rasheed Williams,
Ryan Williams,25
Trey Williams,
David Wilson,24
Ronnie Wingo,24
George Winn,24
Glenn Winston,26
Cierre Wood,24
Danny Woodhead,30
T.J. Yeldon,
Darrel Young,28
Zach Zenner,
Jared Abbrederis,24
Davante Adams,22
Joe Adams,25
Nelson Agholor,
Kamar Aiken,26
Seyi Ajirotutu,28
Danario Alexander,26
Mario Alford,
Keenan Allen,23
Danny Amendola,29
Dres Anderson,
Joe Anderson,26
Anthony Armstrong,32
Damarr Aultman,
Miles Austin,31
Tavon Austin,24
Jason Avant,32
Donnie Avery,31
Rasheed Bailey,
Stedman Bailey,24
Doug Baldwin,26
Jon Baldwin,25
Ramses Barden,29
Phil Bates,25
Cole Beasley,26
Odell Beckham,22
Kenny Bell,
Josh Bellamy,26
Tim Benford,25
Kelvin Benjamin,24
Travis Benjamin,25
Arrelious Benn,26
Earl Bennett,28
Brenton Bersin,25
Davone Bess,29
Armon Binns,25
Justin Blackmon,25
Geraldo Boldewijn,24
Anquan Boldin,34
Alan Bonner,24
Kadron Boone,23
Dwayne Bowe,30
Josh Boyce,
Chris Boyd,23
Jarrett Boykin,25
LaVon Brazill,26
Steve Breaston,31
Kenny Britt,26
Antonio Brown,26
Da'Ron Brown,
Jaron Brown,25
John Brown,25
Justin Brown,24
Marlon Brown,
Mike Brown,26
Philly Brown,23
Vincent Brown,26
Paul Browning,
Ryan Broyles,27
Dez Bryant,26
Martavis Bryant,23
Chad Bumphis,
Nate Burleson,33
Plaxico Burress,37
Isaiah Burse,23
Stephen Burton,25
Brice Butler,25
Deon Butler,29
Jeremy Butler,24
LaRon Byrd,25
Andre Caldwell,30
Michael Campanaro,24
Michael Campbell,
DeAndre Carter,
Duron Carter,24
Greg Childs,25
Kaelin Clay,
Danny Coale,27
Sammie Coates,
Randall Cobb,24
Brandon Coleman,23
Austin Collie,29
Ricky Collins,
Marques Colston,32
Kain Colter,23
Kevin Cone,27
Chris Conley,
Brandin Cooks,21
Amari Cooper,
Josh Cooper,26
Riley Cooper,27
Jerricho Cotchery,33
Adrian Coxson,
Michael Crabtree,27
Josh Cribbs,32
Juron Criner,25
Jamison Crowder,
Victor Cruz,28
B.J. Cunningham,26
DaVaris Daniels,
Darius Davis,
Devante Davis,
Drew Davis,26
Geremy Davis,
Marcus Davis,25
Mike Davis,23
Titus Davis,
Skye Dawson,
Andre Debose,
Eric Decker,28
Dan DePalma,
Stefon Diggs,
Aaron Dobson,23
Phillip Dorsett,
Kevin Dorsey,25
Tandon Doss,25
Harry Douglas,30
Weston Dressler,30
Kris Durham,27
Marcus Easley,27
Jeremy Ebert,26
Julian Edelman,29
Armanti Edwards,27
Patrick Edwards,26
Bruce Ellington,23
Kevin Elliott,26
Quincy Enunwa,23
Mike Evans,21
Shaq Evans,24
George Farmer,
Larry Fitzgerald,31
Malcom Floyd,33
Michael Floyd,25
Jacoby Ford,27
Bennie Fowler,24
Corey Fuller,25
Devin Funchess,
Taylor Gabriel,24
Jeremy Gallon,25
Pierre Garcon,28
Devin Gardner,
Clyde Gates,29
David Gettis,27
Brandon Gibson,27
Ted Ginn Jr.,30
Chris Givens,25
Brittan Golden,
Antwan Goodley,
Marquise Goodwin,24
Josh Gordon,24
T.J. Graham,25
Ryan Grant,24
A.J. Green,26
Dorial Green-Beckham,
Deontay Greenberry,
Rashad Greene,
Tori Gurley,27
Derek Hagan,30
Saalim Hakim,25
Chad Hall,29
Rannell Hall,
Cobi Hamilton,24
Frankie Hammond,45
Leonard Hankerson,27
Justin Hardy,
Chris Harper,25
Chris Harper,
Josh Harper,
Dwayne Harris,27
Marcus Harris,26
R.J. Harris,
Mark Harrison,24
Brian Hartline,28
Percy Harvin,27
Andrew Hawkins,29
Charles Hawkins,24
Lavelle Hawkins,28
Matt Hazel,23
Junior Hemingway,26
Devery Henderson,33
Javontee Herndon,24
Robert Herron,23
Devin Hester,32
Darrius Heyward-Bey,28
Austin Hill,
Stephen Hill,24
T.Y. Hilton,25
Domenik Hixon,30
Cody Hoffman,24
Chris Hogan,26
Trindon Holliday,29
Andre Holmes,27
Santonio Holmes,31
DeAndre Hopkins,23
Josh Huff,23
Kofi Hughes,23
Justin Hunter,24
Allen Hurns,23
Dontrelle Inman,26
DeSean Jackson,28
Vincent Jackson,32
Jeff Janis,24
Lestar Jean,27
Alshon Jeffery,25
A.J. Jenkins,24
Greg Jenkins,
Greg Jennings,31
Jerrel Jernigan,26
Andre Johnson,33
Calvin Johnson,29
Charles Johnson,26
Damaris Johnson,25
Darius Johnson,
Stevie Johnson,28
Vernon Johnson,
Chandler Jones,23
Dwight Jones,26
Jacoby Jones,30
James Jones,31
Julio Jones,26
Marvin Jones,25
Seantavius Jones,22
T.J. Jones,22
Jermaine Kearse,25
Jeremy Kerley,26
Tavarres King,24
Brandon LaFell,28
Jarvis Landry,22
Cody Latimer,22
Marqise Lee,23
Jordan Leslie,
Dezmin Lewis,
Lance Lewis,26
Tony Lippett,
Greg Little,26
Brandon Lloyd,33
Tyler Lockett,
Ricardo Lockette,29
Deon Long,
Erik Lora,24
Marcus Lucas,23
Gavin Lutman,
Jeremy Maclin,27
Jeff Maehl,26
Mario Manningham,29
Marc Mariani,28
Brandon Marshall,31
Keshawn Martin,25
Freddie Martino,23
Mohamed Massaquoi,28
Chris Matthews,25
Jordan Matthews,22
Rishard Matthews,25
Vince Mayle,
Tre McBride,
Sam McGuffie,25
Marvin McNutt,26
Robert Meachem,30
Aaron Mellette,25
T.J. Moe,
Donte Moncrief,21
Ty Montgomery,
Denarius Moore,26
Lance Moore,31
Marlon Moore,27
Joseph Morgan,27
Josh Morgan,30
Santana Moss,36
Derek Moye,
Keith Mumphery,
Louis Murphy,28
David Nelson,28
J.J. Nelson,
Jordy Nelson,30
Alex Neutz,24
Hakeem Nicks,27
Kevin Norwood,25
Levi Norwood,
Ben Obomanu,31
Kevin Ogletree,27
Kassim Osgood,35
Chris Owusu,25
Eric Page,23
Nathan Palmer,26
Tobais Palmer,
DeVante Parker,
Preston Parker,28
Cordarrelle Patterson,24
Quinton Patton,24
Solomon Patton,24
Breshad Perriman,
Austin Pettis,27
Kealoha Pilares,27
DeVier Posey,25
Walter Powell,23
Michael Preston,26
Terrelle Pryor,26
Brian Quick,26
Rueben Randle,24
David Reed,28
Bernard Reedy,23
Tevin Reese,24
Sidney Rice,28
Paul Richardson,23
Andre Roberts,27
Aldrick Robinson,26
Allen Robinson,21
Brian Robiskie,27
Courtney Roby,32
Da'Rick Rogers,24
Jeremy Ross,27
Rashad Ross,25
Eddie Royal,29
Ezell Ruffin,
Greg Salas,26
Ace Sanders,23
Emmanuel Sanders,28
Mohamed Sanu,25
Dane Sanzenbacher,26
Bud Sasser,
Jalen Saunders,22
Russell Shepard,24
Jaxon Shipley,
Cecil Shorts,27
Jerome Simpson,29
Matt Slater,29
Nathan Slaughter,
DeAndre Smelter,
Brad Smith,31
Devin Smith,
Rodney Smith,25
Steve Smith,36
Torrey Smith,26
Willie Snead,22
Ryan Spadola,
Evan Spencer,
Micheal Spurlock,32
Neal Sterling,
Josh Stewart,22
Kenny Stills,23
Brandon Stokley,39
Rod Streater,27
Devin Street,24
Tommy Streeter,25
Jaelen Strong,
Ryan Swope,24
Julian Talley,
Brandon Tate,27
Golden Tate,26
Jordan Taylor,
Kerry Taylor,26
Adam Thielen,24
Marcus Thigpen,29
De'Anthony Thomas,22
Demaryius Thomas,27
Eric Thomas,23
Lamaar Thomas,
Mike Thomas,28
Kenbrell Thompkins,
Deonte Thompson,26
Terrence Toliver,27
Nick Toon,26
Brian Tyms,
Tiquan Underwood,28
Justin Veltung,
Conner Vernon,24
Mike Wallace,28
Darren Waller,
Kevin Walter,33
Bryan Walters,27
Eric Ward,24
Corey Washington,23
L'Damian Washington,24
Nate Washington,31
Sammy Watkins,22
Reggie Wayne,36
Eric Weems,29
Wes Welker,34
Griff Whalen,25
Ryan Whalen,25
Markus Wheaton,24
DeAndrew White,
Kevin White,
Myles White,
Roddy White,33
Chris Williams,
Damian Williams,27
Kasen Williams,
Kyle Williams,26
Mike Williams,28
Nick Williams,
Stephen Williams,29
Terrance Williams,25
Tyrell Williams,
Mike Willie,
Albert Wilson,22
Marquess Wilson,22
Robert Woods,23
Cam Worthy,
James Wright,23
Jarius Wright,25
Kendall Wright,25
Devon Wylie,26
Kyle Adams,27
Dwayne Allen,25
Rashaun Allen,25
Jace Amaro,23
Rory Anderson,22
Blake Annen,24
David Ausberry,27
Kennard Backman,
Billy Bajema,32
Jake Ballard,27
Gary Barnidge,29
Alex Bayer,24
Blake Bell,
Martellus Bennett,28
E.J. Bibbs,
Rob Blanchflower,25
Ted Bolser,24
Brandon Bostick,26
Nick Boyle,
Brett Brackett,27
Cameron Brate,23
Kevin Brock,29
Richie Brockel,28
Trey Burton,23
Nate Byham,27
Jake Byrne,
Jordan Cameron,26
John Carlson,31
Derek Carrier,24
James Casey,30
Brent Celek,30
Garrett Celek,27
Scott Chandler,29
Orson Charles,24
Gerald Christian,
Dallas Clark,36
Charles Clay,26
Asante Cleveland,23
Chase Coffman,28
Jared Cook,28
Tom Crabtree,29
Jeff Cumberland,28
Jerome Cunningham,24
Justice Cunningham,24
Owen Daniels,32
Fred Davis,29
Kellen Davis,29
Vernon Davis,31
A.J. Derby,
Dorin Dickerson,27
Ed Dickson,27
Chase Dixon,24
Larry Donnell,
Jack Doyle,
Jim Dray,28
Joel Dreessen,32
Joe Don Duncan,
Eric Ebron,22
Michael Egnew,25
Tyler Eifert,24
Rhett Ellison,26
Zach Ertz,24
Gavin Escobar,24
Anthony Fasano,31
Joseph Fauria,25
Daniel Fells,31
Darren Fells,29
C.J. Fiedorowicz,23
Jermichael Finley,28
Coby Fleener,26
Chase Ford,
Matt Furstenburg,26
Beau Gardner,
Antonio Gates,35
Crockett Gillmore,23
Tony Gonzalez,39
Richard Gordon,28
Chris Gragg,25
Garrett Graham,28
Jimmy Graham,28
MarQueis Gray,24
Ladarius Green,25
Virgil Green,26
Jermaine Gresham,27
Ryan Griffin,25
Xavier Grimble,22
Rob Gronkowski,26
Je'Ron Hamm,23
James Hanna,25
Clay Harbor,27
Cory Harkey,
Clark Harris,30
Demetrius Harris,23
Ben Hartsock,34
Cooper Helfet,26
Jeff Heuerman,
Josh Hill,
Michael Hoomanawanui,26
Gator Hoskins,23
Robert Housler,27
Nic Jacobs,23
Jesse James,
D.C. Jefferson,26
Marcel Jensen,25
David Johnson,27
Malcolm Johnson,
Dominique Jones,
Justin Jones,23
Nick Kasa,24
Travis Kelce,25
Dustin Keller,30
Lance Kendricks,27
Jeff King,32
Ben Koyack,
Tyler Kroft,
A.C. Leonard,23
Brian Leonhardt,25
Marcedes Lewis,31
Colt Lyerla,22
Arthur Lynch,25
Steve Maneri,27
Jeron Mastrud,27
Anthony McCoy,27
Vance McDonald,25
Sean McGrath,27
Mike McNeill,27
Heath Miller,32
Zach Miller,30
Zach Miller,29
Tony Moeaki,28
Ifeanyi Momah,25
Matthew Mulligan,30
Jake Murphy,25
Brandon Myers,29
Troy Niklas,22
Danny Noble,26
Nick O'Leary,
James O'Shaughnessy,
Greg Olsen,30
Fendi Onobun,28
Michael Palmer,27
Chris Pantale,
Bear Pascoe,29
Niles Paul,25
Logan Paulsen,28
David Paulson,26
Justin Perillo,24
Brandon Pettigrew,30
John Phillips,28
Dennis Pitta,30
MyCole Pruitt,
Andrew Quarless,26
Jordan Reed,24
Allen Reisner,26
Konrad Reuland,28
Mychal Rivera,24
Adrien Robinson,26
Gerrell Robinson,
Richard Rodgers,23
Evan Rodriguez,26
Dante Rosario,30
Kyle Rudolph,25
Weslye Saunders,26
Wes Saxton,
Tony Scheffler,32
Austin Seferian-Jenkins,22
Visanthe Shiancoe,35
Dion Sims,24
Brad Smelley,26
Alex Smith,33
Andre Smith,26
Lee Smith,27
Matt Spaeth,30
Kory Sperry,30
Craig Stevens,30
Luke Stocker,26
Jake Stoneburner,
Zach Sudfeld,26
Phillip Supernaw,
Geoff Swaim,
Erik Swoope,23
Jacob Tamme,30
Ryan Taylor,27
Randall Telfer,
Julius Thomas,27
Jordan Thompson,25
Taylor Thompson,25
Levine Toilolo,23
C.J. Uzomah,
Clive Walford,
Delanie Walker,30
Ben Watson,34
Brandon Williams,
D.J. Williams,26
Maxx Williams,
Michael Williams,
Luke Willson,25
Kellen Winslow,31
Jason Witten,33
Tim Wright,
Will Yeatman,27
David Akers,40
Dan Bailey,27
Connor Barth,29
Brandon Bogotay,26
Maikon Bonani,26
Chris Boswell,25
Kyle Brindza,
Josh Brown,36
Matt Bryant,40
Randy Bullock,25
Dan Carpenter,29
Chandler Catanzaro,24
Travis Coons,23
Mason Crosby,30
Billy Cundiff,35
Phil Dawson,40
Derek Dimke,
Mitch Ewald,24
Jay Feely,39
Nick Folk,30
Kai Forbath,27
Andrew Franks,
Nate Freese,24
Graham Gano,28
Stephen Gostkowski,31
Robbie Gould,32
Shayne Graham,37
Garrett Hartley,29
Steven Hauschka,30
Alex Henery,27
Zach Hocker,23
Dustin Hopkins,24
Sebastian Janikowski,37
Nate Kaeding,33
Josh Lambo,
Rian Lindell,38
Justin Manton,
Brandon McManus,23
Patrick Murray,24
Nick Novak,33
Mike Nugent,33
Tom Obarski,
Cody Parkey,23
John Potter,25
Matt Prater,30
Jake Rogers,28
Havard Rugland,30
Cairo Santos,23
Josh Scobee,33
Carey Spear,23
Caleb Sturgis,25
Ryan Succop,28
Shaun Suisham,33
Giorgio Tavecchio,24
Justin Tucker,25
Lawrence Tynes,37
Adam Vinatieri,42
Blair Walsh,25
Carson Wiggs,25
Greg Zuerlein,27
